"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 06-Sep-2023","1W AGO 
 01-Sep-2023","1M AGO 
 08-Aug-2023","1Y AGO 
 07-Sep-2022","52W H 
","52W L 
","365 D % CHNG 
 07-Sep-2022","30 D % CHNG 
 08-Aug-2023"
"NIFTY 50","20,192.35","0.44","20,156.45","20,222.45","20,129.70","20,103.10","20,103.10","19,819.95","19,365.25","17,530.85","20,222.45","16,747.70","15.18","4.27"
"NIFTY NEXT 50","46,051.85","0.18","46,116.15","46,146.50","45,889.30","45,971.20","45,971.20","46,110.80","43,892.85","44,093.35","46,799.00","36,850.75","4.44","4.92"
"NIFTY 100","20,108.40","0.42","20,079.75","20,136.30","20,048.75","20,024.80","20,024.80","19,789.30","19,264.60","17,938.10","20,136.30","16,696.25","12.10","4.38"
"NIFTY 200","10,763.60","0.40","10,753.65","10,779.35","10,733.65","10,721.05","10,721.05","10,624.35","10,263.95","9,407.30","10,785.60","8,767.55","14.42","4.87"
"NIFTY 500","17,665.80","0.35","17,662.80","17,691.85","17,620.90","17,603.50","17,603.50","17,487.45","16,802.25","15,243.95","17,754.05","14,177.50","15.89","5.14"
"NIFTY MIDCAP 50","11,635.90","0.46","11,638.35","11,654.10","11,585.95","11,582.80","11,582.80","11,647.15","10,872.75","8,573.45","11,789.95","8,094.85","35.72","7.02"
"NIFTY MIDCAP 100","40,829.90","0.28","40,908.40","40,982.75","40,711.60","40,716.05","40,716.05","40,977.75","37,895.50","31,494.90","41,686.75","29,200.20","29.64","7.74"
"NIFTY SMALLCAP 100","12,793.75","0.41","12,811.20","12,859.35","12,748.70","12,741.95","12,741.95","12,812.30","11,745.30","9,817.00","13,079.20","8,682.00","30.32","8.93"
"INDIA VIX","10.90","-3.66","11.32","11.32","10.07","11.32","11.32","10.78","12.24","19.82","22.90","8.18","-45.00","-10.93"
"NIFTY MIDCAP 150","15,222.70","0.12","15,279.55","15,298.25","15,194.05","15,204.15","15,204.15","15,341.05","14,215.20","11,933.30","15,599.05","11,016.50","27.56","7.09"
"NIFTY SMALLCAP 50","5,865.90","0.51","5,874.15","5,895.60","5,845.10","5,836.25","5,836.25","5,913.90","5,341.35","4,444.40","6,047.55","3,984.65","31.98","9.82"
