SR. NO ,Symbol,COMPANY NAME ,ISIN ,ESM STAGE
1,GVPTECH,Gvp Infotech Limited,INE382T01030,ESM - I (34)
2,AKI,Aki India Limited,INE642Z01026,ESM - II (35)
3,ASMS,Bartronics India Limited,INE855F01042,ESM - II (35)
4,BINANIIND,Binani Industries Limited,INE071A01013,ESM I & GSM 0 (36)
5,DCI,Dc Infotech And Communication Limited,INE0A1101019,ESM - II (35)
6,FCONSUMER,Future Consumer Limited,INE220J01025,ESM - I (34)
7,TPHQ,Teamo Productions HQ Limited,INE065J01016,ESM - I (34)
8,GOYALALUM,Goyal Aluminiums Limited,INE705X01026,ESM - II (35)
9,IMPEXFERRO,Impex Ferro Tech Limited,INE691G01015,ESM - I (34)
10,INDOTECH,Indo Tech Transformers Limited,INE332H01014,ESM - II (35)
11,IZMO,Izmo Limited,INE848A01014,ESM - I (34)
12,KRIDHANINF,Kridhan Infra Limited,INE524L01026,ESM I & GSM 0 (36)
13,KRITIKA,Kritika Wires Limited,INE00Z501029,ESM - II (35)
14,KSHITIJPOL,Kshitij Polyline Limited,INE013801027,ESM - I (34)
15,LAL,Lorenzini Apparels Limited,INE740X01015,ESM - I (34)
16,GATECHDVR,GACM Technologies Limited,INE224E01036,ESM - II (35)
17,SOMATEX,Soma Textiles & Industries Limited,INE314C01013,ESM - I (34)
18,SPMLINFRA,Spml Infra Limited,INE937A01023,ESM - II (35)
19,SUULD,Suumaya Industries Limited,INE591Q01016,ESM - II (35)
20,SVPGLOB,Svp Global Textiles Limited,INE308E01029,ESM - I (34)
21,TARAPUR,Tarapur Transformers Limited,INE747K01017,ESM II & GSM 0 (37)
22,VARDMNPOLY,Vardhman Polytex Limited,INE835A01011,ESM - II (35)
23,VINNY,Vinny Overseas Limited,INE01KI01027,ESM - I (34)
24,WSI,W S Industries (I) Limited,INE100D01014,ESM - I (34)
25,GEEKAYWIRE,Geekay Wires Limited,INE669X01016,ESM - II (35)
26,KILITCH,Kilitch Drugs (India) Limited,INE729D01010,ESM - I (34)
27,CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019,ESM - I (34)
28,GODHA,Godha Cabcon & Insulation Limited,INE925Y01036,ESM - I (34)
29,HYBRIDFIN,Hybrid Financial Services Limited,INE965B01022,ESM - I (34)
30,IEL,Indiabulls Enterprises Limited,INE059901020,ESM - I (34)
31,PRAXIS,Praxis Home Retail Limited,INE546Y01022,ESM II & GSM 0 (37)
32,RAJMET,Rajnandini Metal Limited,INE00KV01022,ESM - I (34)
33,SADBHAV,Sadbhav Engineering Limited,INE226H01026,ESM - II (35)
34,SADBHIN,Sadbhav Infrastructure Project Limited,INE764L01010,ESM II & GSM 0 (37)
35,SETCO,Setco Automotive Limited,INE878E01021,ESM - II (35)
36,SITINET,Siti Networks Limited,INE965H01011,ESM - I (34)
37,TIRUPATIFL,Tirupati Forge Limited,INE319Y01024,ESM - I (34)
38,ZEELEARN,Zee Learn Limited,INE565L01011,ESM - II (35)
39,PARASPETRO,Paras Petrofils Limited,INE162C01024,ESM - II (35)
40,ARSHIYA,Arshiya Limited,INE968D01022,ESM - I (34)
41,ESSENTIA,Integra Essentia Limited,INE418N01035,ESM - I (34)
42,NDLVENTURE,Ndl Ventures Limited,INE353A01023,ESM - I (34)
43,REGENCERAM,Regency Ceramics Limited,INE277C01012,ESM II & GSM 0 (37)
44,BCONCEPTS,Brand Concepts Limited,INE977Y01011,ESM - II (35)
45,WALCHANNAG,Walchandnagar Industries Limited,INE711A01022,ESM - II (35)
46,SUPREMEINF,Supreme Infrastructure India Limited,INE550H01011,ESM - II (35)
47,GANGAFORGE,Ganga Forging Limited,INE691Z01023,ESM - II (35)
48,WANBURY,Wanbury Limited,INE107F01022,ESM - II (35)
49,MASKINVEST,Mask Investments Limited,INE885F01015,ESM I & GSM 0 (36)
50,SABEVENTS,Sab Events & Governance Now Media Limited,INE860T01019,ESM II & GSM 0 (37)
51,SHREYANIND,Shreyans Industries Limited,INE231C01019,ESM - II (35)
52,RSSOFTWARE,R. S. Software (India) Limited,INE165B01029,ESM - II (35)
53,JYOTISTRUC,Jyoti Structures Limited,INE197A01024,ESM - I (34)
