"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","GSM STAGE 
"
1,"ALPSINDUS","Alps Industries Limited","INE093B01015","GSM - 0 (99)"
2,"ANTGRAPHIC","Antarctica Limited","INE414B01021","GSM - 0 (99)"
3,"ASIL","Amit Spinning Industries Limited","INE988A01026","GSM - VI (6)"
4,"ATLANTA","Atlanta  Limited","INE285H01022","GSM - 0 (99)"
5,"ATNINTER","ATN International Limited","INE803A01027","GSM - VI (6)"
6,"BALLARPUR","Ballarpur Industries Limited","INE294A01037","GSM - 0 (99)"
7,"BKMINDST","Bkm Industries Limited","INE831Q01016","GSM - 0 (99)"
8,"BLUECOAST","Blue Coast Hotels Limited","INE472B01011","GSM - III (3)"
9,"CALSOFT","California Software Company Limited","INE526B01014","GSM - 0 (99)"
10,"CMICABLES","CMI Limited","INE981B01011","IBC - Receipt & GSM 0 (62)"
11,"DGCONTENT","Digicontent Limited","INE03JI01017","GSM - I (1)"
12,"EASTSILK","Eastern Silk Industries Limited","INE962C01027","IBC - Receipt & GSM 0 (62)"
13,"EDUCOMP","Educomp Solutions Limited","INE216H01027","GSM - 0 (99)"
14,"EQUIPPP","Equippp Social Impact Technologies Limited","INE217G01035","IBC - Receipt & GSM 0 (62)"
15,"FRETAIL","Future Retail Limited","INE752P01024","IBC - Receipt & GSM 0 (62)"
16,"GANGOTRI","Gangotri Textiles Limited","INE670B01028","GSM - 0 (99)"
17,"GATECH","GACM TECHNOLOGIES LIMITED","INE224E01028","GSM - IV (4)"
18,"GFSTEELS","Grand Foundry Limited","INE534A01028","GSM - IV (4)"
19,"GOLDENTOBC","Golden Tobacco Limited","INE973A01010","IBC - Receipt & GSM 0 (62)"
20,"HINDMOTORS","Hindustan Motors Limited","INE253A01025","GSM - I (1)"
21,"INDLMETER","IMP Powers Limited","INE065B01013","IBC - Receipt & GSM 0 (62)"
22,"INFOMEDIA","Infomedia Press Limited","INE669A01022","GSM - II (2)"
23,"INSPIRISYS","Inspirisys Solutions Limited","INE020G01017","GSM - 0 (99)"
24,"KEEPLEARN","DSJ KEEP LEARNING LTD","INE055C01020","GSM - 0 (99)"
25,"KSK","KSK Energy Ventures Limited","INE143H01015","GSM - 0 (99)"
26,"LAKPRE","Laxmi Precision Screws Limited","INE651C01018","IBC - Receipt & GSM 0 (62)"
27,"MBECL","Mcnally Bharat Engineering Company Limited","INE748A01016","IBC I & GSM 0 (58)"
28,"MELSTAR","Melstar Information Technologies Limited","INE817A01019","IBC - Receipt & GSM 0 (62)"
29,"MEP","MEP Infrastructure Developers Limited","INE776I01010","GSM - 0 (99)"
30,"METALFORGE","Metalyst Forgings Limited","INE425A01011","IBC - Receipt & GSM 0 (62)"
31,"METKORE","Metkore Alloys & Industries Limited","INE592I01029","GSM - 0 (99)"
32,"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","INE245I01016","GSM - 0 (99)"
33,"OMKARCHEM","Omkar Speciality Chemicals Limited","INE474L01016","GSM I & IBC - Receipt (63)"
34,"ORTEL","Ortel Communications Limited","INE849L01019","IBC - Receipt & GSM 0 (62)"
35,"PDPL","Parenteral Drugs (India) Limited","INE904D01019","IBC - Receipt & GSM 0 (62)"
36,"PREMIER","Premier Limited","INE342A01018","IBC I & GSM 0 (58)"
37,"QUINTEGRA","Quintegra Solutions Limited","INE033B01011","GSM - 0 (99)"
38,"RADAAN","Radaan Mediaworks India Limited","INE874F01027","GSM - III (3)"
39,"RAJVIR","Rajvir Industries Limited","INE011H01014","IBC - Receipt & GSM 0 (62)"
40,"ROML","Raj Oil Mills Limited","INE294G01026","GSM - 0 (99)"
41,"SABTN","Sri Adhikari Brothers Television Network Limited","INE416A01036","IBC I & GSM 0 (58)"
42,"SANCO","Sanco Industries Limited","INE782L01012","IBC - Receipt & GSM 0 (62)"
43,"SHYAMTEL","Shyam Telecom Limited","INE635A01023","GSM - 0 (99)"
44,"SILLYMONKS","Silly Monks Entertainment Limited","INE203Y01012","GSM - I (1)"
45,"SPYL","Shekhawati Poly-Yarn Limited","INE268L01020","GSM - II (2)"
46,"SUMEETINDS","Sumeet Industries Limited","INE235C01010","IBC - Receipt & GSM 0 (62)"
47,"TCIFINANCE","TCI Finance Limited","INE911B01018","GSM - 0 (99)"
48,"TIJARIA","Tijaria Polypipes Limited","INE440L01017","LTASM I & GSM 0 (50)"
49,"UNIVAFOODS","Univa Foods Limited","INE275F01019","GSM - III (3)"
50,"VICEROY","Viceroy Hotels Limited","INE048C01017","GSM - 0 (99)"
51,"VIJIFIN","Viji Finance Limited","INE159N01027","GSM - 0 (99)"
