ticker,price_change
DELTACORP,-0.16261
ASTEC,-0.15937
NDTV,-0.13588
BCG,-0.13486
OPTIEMUS,-0.13444
POLYPLEX,-0.10811
FLUOROCHEM,-0.10331
NAVINFLUOR,-0.1025
HERITGFOOD,-0.10032
TATVA,-0.09951
JUBLPHARMA,-0.09778
CAMPUS,-0.09549
HFCL,-0.09292
ATUL,-0.09181
KIRIINDUS,-0.08854
MFL,-0.08615
AARTIIND,-0.08553
JUBLINGREA,-0.08428
MOL,-0.08316
EASEMYTRIP,-0.08314
BALAMINES,-0.08308
VMART,-0.08257
ACI,-0.08221
ALKYLAMINE,-0.08216
AWL,-0.08207
GUJGASLTD,-0.08145
INDIAGLYCO,-0.08136
JCHAC,-0.08088
EVEREADY,-0.07923
BIOCON,-0.07858
HAPPSTMNDS,-0.07767
HGS,-0.07746
SUMICHEM,-0.07569
DHANI,-0.07561
ORIENTELEC,-0.07548
INDOCO,-0.07437
PTCIL,-0.07435
LAURUSLABS,-0.07371
COSMOFIRST,-0.07364
FINEORG,-0.07347
ALOKINDS,-0.07219
BFUTILITIE,-0.072
DEEPAKNTR,-0.072
RTNINDIA,-0.07158
ATGL,-0.06974
INDIACEM,-0.06937
VALIANTORG,-0.06929
BEPL,-0.06862
NSLNISP,-0.068
JINDALPOLY,-0.06733
BARBEQUE,-0.06444
PPLPHARMA,-0.06351
ALLCARGO,-0.06329
GRMOVER,-0.06207
TV18BRDCST,-0.05992
SARDAEN,-0.05981
BANDHANBNK,-0.05968
INFY,-0.05945
BORORENEW,-0.05866
FCL,-0.05848
IGL,-0.05835
PIDILITIND,-0.05822
MAHLOG,-0.05774
TRITURBINE,-0.05772
RAJESHEXPO,-0.05709
LXCHEM,-0.05673
GREAVESCOT,-0.05667
ELGIEQUIP,-0.05616
KAJARIACER,-0.05612
BUTTERFLY,-0.05598
AAVAS,-0.05575
PVRINOX,-0.05572
PAGEIND,-0.05444
TECHM,-0.05422
VOLTAS,-0.05385
SBICARD,-0.05381
VIPIND,-0.05367
INDUSTOWER,-0.05343
EMUDHRA,-0.05338
LUXIND,-0.05274
CROMPTON,-0.05243
CLEAN,-0.05243
CERA,-0.05218
PANAMAPET,-0.05211
GHCL,-0.05142
SRF,-0.05139
IBULHSGFIN,-0.05139
SOLARA,-0.0508
AMIORG,-0.05051
TCIEXP,-0.04855
ASIANPAINT,-0.04789
TARSONS,-0.04781
GRINFRA,-0.04742
PIIND,-0.04731
SUPRAJIT,-0.04729
SAPPHIRE,-0.04711
RUSTOMJEE,-0.04625
SUPRIYA,-0.04615
SAREGAMA,-0.04607
NOCIL,-0.0457
VOLTAMP,-0.04554
GREENPANEL,-0.04543
IEX,-0.0443
BERGEPAINT,-0.04391
TATACHEM,-0.04378
IRCTC,-0.04302
RELIANCE,-0.04278
GLOBUSSPR,-0.04229
KNRCON,-0.04224
STLTECH,-0.04213
VAIBHAVGBL,-0.04201
VSTIND,-0.04114
LAXMIMACH,-0.04093
AFFLE,-0.04091
VINATIORGA,-0.04088
MASTEK,-0.04077
IKIO,-0.04048
GRAUWEIL,-0.03947
SPARC,-0.03922
DCBBANK,-0.03909
UFLEX,-0.03881
DEVYANI,-0.03872
MAHLIFE,-0.03862
LEMONTREE,-0.03831
LTIM,-0.03828
LTTS,-0.03744
FINPIPE,-0.03721
ACC,-0.03686
RALLIS,-0.0365
HAVELLS,-0.03592
SHOPERSTOP,-0.0359
HIKAL,-0.03585
INDHOTEL,-0.03563
SYMPHONY,-0.03531
DABUR,-0.03531
QUESS,-0.03463
DEEPAKFERT,-0.03449
TIMKEN,-0.03389
WIPRO,-0.03385
TRIDENT,-0.03376
MPHASIS,-0.03371
VTL,-0.03346
STARHEALTH,-0.03344
TCNSBRANDS,-0.03305
UPL,-0.03295
DIXON,-0.03267
CONFIPET,-0.03248
ABFRL,-0.03203
EIHOTEL,-0.03203
RELAXO,-0.03177
IFBIND,-0.03141
ADANIPORTS,-0.0314
GARFIBRES,-0.03123
NETWORK18,-0.03113
KENNAMET,-0.0311
YESBANK,-0.03106
SIS,-0.03094
GMMPFAUDLR,-0.03073
CGPOWER,-0.03042
TEAMLEASE,-0.0299
HLEGLAS,-0.02989
MSUMI,-0.0297
JKCEMENT,-0.02947
KOTAKBANK,-0.02824
BAJAJHLDNG,-0.02781
REDINGTON,-0.02758
GUFICBIO,-0.02696
FIEMIND,-0.02691
AEGISCHEM,-0.02682
ZYDUSWELL,-0.02669
SHARDACROP,-0.02663
BDL,-0.02648
RELIGARE,-0.02639
FAIRCHEMOR,-0.02631
HONAUT,-0.02621
HERANBA,-0.02614
JUBLFOOD,-0.02608
AVANTIFEED,-0.02589
ANDHRSUGAR,-0.02551
BATAINDIA,-0.02538
ACCELYA,-0.0244
RBA,-0.02334
NESCO,-0.02312
TCI,-0.02297
COFORGE,-0.02294
SWSOLAR,-0.02225
INTELLECT,-0.02179
JAMNAAUTO,-0.02155
RAJRATAN,-0.02144
ROUTE,-0.02136
FILATEX,-0.02136
TIRUMALCHM,-0.02128
ICICIBANK,-0.02125
UNOMINDA,-0.02103
HINDUNILVR,-0.02087
POONAWALLA,-0.02076
BLUEDART,-0.02038
AETHER,-0.02031
AMBUJACEM,-0.0203
NYKAA,-0.02025
INDIGOPNTS,-0.02003
ROSSARI,-0.01996
GALAXYSURF,-0.01886
EIDPARRY,-0.01884
KANSAINER,-0.01881
IPL,-0.01878
MARICO,-0.01839
TVTODAY,-0.01836
MOREPENLAB,-0.01805
EICHERMOT,-0.01799
DALBHARAT,-0.01798
SCI,-0.0178
HNDFDS,-0.01747
KIRLPNU,-0.01731
DBL,-0.01703
GODREJCP,-0.0169
ADVENZYMES,-0.01655
VBL,-0.0165
ABB,-0.01622
MAYURUNIQ,-0.0162
