Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","18,115.60","18,145.45","18,016.20","18,027.65","-80.20","-0.44","2,372.25","19,519.79","18,887.60","15,183.40","0.50","-1.95"
"COALINDIA","224.85","229.25","222.75","227.00","3.05","1.36","134.45","304.57","263.40","149.00","38.50","0.40"
"POWERGRID","221.00","223.90","221.00","223.35","2.60","1.18","75.84","169.14","248.35","186.35","9.14","2.78"
"HDFCBANK","1,644.10","1,669.00","1,643.40","1,659.25","15.15","0.92","94.22","1,565.50","1,722.10","1,271.60","9.27","1.58"
"HDFC","2,692.00","2,732.00","2,691.05","2,710.50","18.80","0.70","19.11","519.60","2,933.80","2,026.00","3.44","0.38"
"ITC","332.00","335.20","329.25","334.45","2.30","0.69","131.04","435.92","361.45","207.00","51.78","-1.68"
"ICICIBANK","873.50","876.50","865.55","871.65","5.50","0.63","81.27","707.62","958.20","642.15","7.80","-4.18"
"TATAMOTORS","404.00","412.50","401.20","402.95","2.20","0.55","239.06","971.14","523.20","366.20","-22.64","-1.84"
"SBIN","593.80","596.60","590.80","592.95","3.10","0.53","67.51","400.93","629.55","425.00","14.96","-1.90"
"DRREDDY","4,331.95","4,381.05","4,280.00","4,350.00","17.80","0.41","2.37","103.00","4,734.40","3,654.00","-7.15","-0.45"
"NTPC","169.90","169.90","167.65","168.85","0.15","0.09","85.45","144.07","181.85","123.65","25.26","-0.53"
"AXISBANK","931.25","934.85","924.65","929.50","0.80","0.09","45.11","419.83","970.00","618.25","27.40","-2.13"
"ONGC","152.00","152.50","150.55","151.85","0.10","0.07","175.13","265.63","194.95","119.85","-10.81","4.11"
"BAJAJ-AUTO","3,583.05","3,586.60","3,551.25","3,576.40","0.45","0.01","1.91","68.30","4,131.75","3,125.00","4.06","-1.03"
"TATACONSUM","738.00","742.90","736.00","738.50","0.00","0.00","8.79","64.98","861.15","650.20","2.91","-8.64"
"INDUSINDBK","1,208.60","1,228.00","1,198.50","1,199.90","-0.65","-0.05","41.44","502.73","1,275.80","763.20","34.33","-2.34"
"M&M","1,324.05","1,325.00","1,311.65","1,318.85","-0.70","-0.05","13.33","175.71","1,364.85","671.15","47.46","3.42"
