symbol,subject,file,details,datetime
HINDZINC,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/HINDZINCNSE_26052026182209_SEfinalintimation.pdf,Hindustan Zinc Limited has informed the Exchange about Schedule of meet,2026-05-26 18:22:31+05:30
LT,Cessation,https://nsearchives.nseindia.com/corporate/PAM_26052026182031_IntimationCessationNK.pdf,"Larsen & Toubro Limited has informed the Exchange regarding Cessation of  Mr. Narayanan Kumar  as Non- Executive Independent Director of the company w.e.f. May 26, 2026.",2026-05-26 18:21:21+05:30
NESTLEIND,General Updates,https://nsearchives.nseindia.com/corporate/NESTLEIND1_26052026183053_InstitutionalInvestorsMeetJune2026signed.pdf,Nestle India Limited has informed the Exchange about Intimation of participation in investor conference(s) scheduled for 2nd June 2026 and 3rd June 2026,2026-05-26 18:31:27+05:30
DLF,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/DLF_26052026184659_Letter.pdf,Newspaper Publication,2026-05-26 18:47:17+05:30
KOTAKBANK,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/Kotakmahindrabank_26052026191013_SEIntimationNewspaperpublicationrelodgementoftransferrequestsMay262026.pdf,Newspaper Clipping - Special Window for Transfer and Dematerialisation of Physical Securities of the Bank,2026-05-26 19:10:27+05:30
KOTAKBANK,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/Kotakmahindrabank_26052026192248_SEIntimationInvestormeetMay262026.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Schedule of meet,2026-05-26 19:23:17+05:30
EICHERMOT,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/rahulrathore_royalenfield_com_26052026192136_EMLTranscriptofConferencecallMay222026Signed.pdf,Eicher Motors Limited has informed the Exchange about Transcript,2026-05-26 19:21:52+05:30
CHOLAFIN,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/lakshmits_26052026193833_SE_Intimationon_IEPF_Newspaper_publication_24May2026.pdf,Cholamandalam Investment and Finance Company Limited has informed the Exchange about Copy of Newspaper Publication in connection with proposed transfer of equity shares to the IEPFA.,2026-05-26 19:38:51+05:30
COALINDIA,Offer for sale,https://nsearchives.nseindia.com/corporate/tchari_26052026193958_Notice_0001.pdf,"The President of India, acting through and represented by the Ministry of Coal, Government of India has informed the Exchange about an announcement with respect to offer for sale through Stock Exchange Mechanism for sale upto 6,16,27,283 Equity shares of face value of INR 10/- each of Coal India Limited. Date and time of the opening of the offer for Non-Retail Investors: May 27, 2026 at 9:15 a.m.; Date and time of the closing of the offer for Non-Retail Investors: May 27, 2026 at 3:30 p.m.; Date and time of the opening of the offer for Retail Investors: May 29, 2026 at 9:15 a.m.; Date and time of the closing of the offer for Retail Investors: May 29, 2026 at 3:30 p.m. The Sale shall continue to take place on a separate window of the Stock Exchanges commencing at 9:15 a.m. and shall close at 3:30 p.m. (Indian Standard Time) on the same date. The Floor Price for the Offer shall be INR 412/- (Rupees Four Hundred and Twelve only).",2026-05-26 19:46:50+05:30
INFY,Shareholders meeting,https://nsearchives.nseindia.com/corporate/Infosys_26052026194705_SE_Voting_Results_26052026_signed.pdf,"Infosys Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results along with copy of minutes.",2026-05-26 19:47:44+05:30
RELIANCE,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/kavinavora_26052026203556_SE_26052026.pdf,"Please note that the Company executives will be participating in the Institutional Investors' Meeting - BofA India Conference 2026, scheduled to be held on June 1, 2026 at Mumbai. It is expected that the meeting with the investors will be on one-on-one basis.",2026-05-26 20:36:09+05:30
AXISBANK,ESOP/ESOS/ESPS,https://nsearchives.nseindia.com/corporate/AXISBANK1_26052026204041_SE26052026.pdf,Axis Bank Limited has informed the Exchange regarding Allotment of 326279  Shares.,2026-05-26 20:40:56+05:30
ONGC,Outcome of Board Meeting,https://nsearchives.nseindia.com/corporate/ONGC_26052026205533_Financialresults31032026SD.pdf,"Oil & Natural Gas Corporation Limited has informed the Exchange regarding Outcome of Board Meeting held on May 26, 2026.",2026-05-26 20:58:27+05:30
ONGC,Outcome of Board Meeting,https://nsearchives.nseindia.com/corporate/ONGC_26052026205304_Financialresults31032026SD.pdf,"Oil & Natural Gas Corporation Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",2026-05-26 20:58:27+05:30
ONGC,Dividend,https://nsearchives.nseindia.com/corporate/ONGC_26052026205402_Financialresults31032026SD.pdf,"Oil & Natural Gas Corporation Limited has informed the Exchange that Board of Directors at its meeting held on May 26, 2026, recommended Final Dividend of Re. 1 per equity share.",2026-05-26 20:58:27+05:30
SUNPHARMA,General Updates,https://nsearchives.nseindia.com/corporate/SUNSEC_26052026211518_SE_Intimation_about_filing_appplication_Signed.pdf,Sun Pharmaceutical Industries Limited has informed the Exchange about Filing of Application for reclassification with stock exchanges,2026-05-26 21:16:28+05:30
BHARTIARTL,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/BHARTIARTL_26052026212537_Bharti_Airtel_-_Investor_Meet_STX_Intimation_sgd_.pdf,Bharti Airtel Limited has informed the Exchange about Schedule of meet,2026-05-26 21:25:49+05:30
ONGC,Press Release,https://nsearchives.nseindia.com/corporate/ONGC_26052026212138_PressRelease26052026.pdf,"Oil & Natural Gas Corporation Limited has informed the Exchange regarding a press release dated May 26, 2026, titled ""ONGC declares results for Q4 FY 26; surge in consolidated net profit by 53% and standalone net profit by 3%, Highest ever total dividend of Rs. 16,669 Crore"".",2026-05-26 21:21:54+05:30
