Symbol,Name,Latest,Change,%Change,High,Low,Volume,Time
AAPL,"Apple Inc",283.78,8.63,+3.14%,285.95,274.21,261775406,2026-06-26
ABBV,"Abbvie Inc",253.35,10.21,+4.20%,253.35,244.66,52635000,2026-06-26
ABT,"Abbott Laboratories",94.12,0.88000000000001,+0.94%,95.21,93.21,16465100,2026-06-26
ACN,"Accenture Plc",128.98,3.16,+2.51%,129.2499,125.71,14148700,2026-06-26
ADBE,"Adobe Systems Inc",202.73,9.32,+4.82%,203.48,195.29,9172000,2026-06-26
AMAT,"Applied Materials",626.84,-41.16,-6.16%,660.19,622,28138602,2026-06-26
AMD,"Adv Micro Devices",521.58,-10.99,-2.06%,525.11,502.61,52705102,2026-06-26
AMGN,"Amgen Inc",358.33,5.51,+1.56%,362.27,354.16,3610500,2026-06-26
AMT,"American Tower Corp",175.59,6.87,+4.07%,176.605,171.14,7260700,2026-06-26
AMZN,"Amazon.com Inc",232.69,5.68,+2.50%,233.9,226.13,248372094,2026-06-26
AVGO,"Broadcom Ltd",365.02,-13.89,-3.67%,373.69,363.83,34839199,2026-06-26
AXP,"American Express Company",340.36,-2.1,-0.61%,344.01,338.32,5899700,2026-06-26
BA,"Boeing Company",217.25,-0.87,-0.40%,222.5799,215.36,11704400,2026-06-26
BAC,"Bank of America Corp",57.88,-0.31,-0.53%,58.6299,57.44,48757600,2026-06-26
BKNG,"Booking Holdings",181.46,4.41,+2.49%,183.29,176.92,12746699,2026-06-26
BLK,"Blackrock Inc",964.71,-7.21,-0.74%,984.01,962.68,1507100,2026-06-26
BMY,"Bristol-Myers Squibb Company",57.52,2.13,+3.85%,57.74,55.4,24000900,2026-06-26
BNY,"Bank of New York Mellon Corp",143.56,-1.87,-1.29%,146.25,141.78,15860500,2026-06-26
BRK.B,"Berkshire Hathaway Cl B",498.66,10.85,+2.22%,498.66,489.2801,7250700,2026-06-26
C,"Citigroup Inc",141.76,-3.22,-2.22%,145.095,140.76,17927100,2026-06-26
CAT,"Caterpillar Inc",997.47,-59.54,-5.63%,1031.85,989.64,13948400,2026-06-26
CL,"Colgate-Palmolive Company",92.07,1.01,+1.11%,92.32,90.56,8777200,2026-06-26
CMCSA,"Comcast Corp A",23.17,0.48,+2.12%,23.23,22.7,42040301,2026-06-26
COF,"Capital One Financial",204,-0.9,-0.44%,207.08,202.55,5143800,2026-06-26
