"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"AJOONI","Ajooni Biotech Limited","Other business matters","To consider other business matters","16-Aug-2024"
"SHEKHAWATI","Shekhawati Industries Limited","Other business matters","1) this is to inform you that a meeting of the Board of Directors of the Company will be held on Friday, 16th August, 2024 at 12.00 p.m. at Corporate Office of the Company at Express Zone,  A  Wing, Unit No. 1102 & 1103, 11th Floor, Patel Vatika, Off Western Express Highway, Malad (East), Mumbai   400 097 to consider the following business:  1) To fix the  Record Date  for taking record of the Members of the Company for the purpose of consolidation of the equity shares of the Company (1 fully paid up equity shares of face value of Rs. 1/- each into 1 fully paid up equity share of face value of Rs. 10/- each).2) To deliberate upon any other matter with the permission of the Chairman","16-Aug-2024"
"AKSHAR","Akshar Spintex Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","17-Aug-2024"
"AKSHAR","Akshar Spintex Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","17-Aug-2024"
"FIVESTAR","Five-Star Business Finance Limited","Fund Raising","To consider the proposal for raising of funds by way of issue of one or more instruments/ securities and determination of issue price thereof","17-Aug-2024"
"FIVESTAR","Five-Star Business Finance Limited","Fund Raising","Update on Board Meeting dated August 17, 2024 - We write to inform that the Company is proposing to issue share warrants by way of preferential allotment to promoters and key managerial personnel and determination of issue price thereof as may be permitted under applicable laws","17-Aug-2024"
"PAR","Par Drugs and Chemicals Limited","Other business matters","To consider other business matters","17-Aug-2024"
"VASWANI","Vaswani Industries Limited","Other business matters","To consider and approve the following matters:-1. The Annual report of the Company comprising the Directors report, Management Discussion and Analysis Report, Annual Return, Report of Secretarial Auditor etc. for the financial year ended on 31st March, 2024.2. The Notice Convening the 21st Annual General Meeting of the Company and also the matters included in the AGM notice and matters connected thereto.3. To decide the Day, Date, Time and Venue for the 21st Annual General Meeting of the Company.4. To decide Cutoff Date for e-voting purpose in the 21st Annual General Meeting of the Company.5. To decide the date for closure of Register of Members and Share Transfer Books for the purpose of Annual General Meeting.6. To authorize Link lntime India Pvt. Ltd (Registrar & Transfer Agent) to provide facility and support for conducting E- Voting at AGM.7. To Appoint Scrutinizer for the scrutiny of E-Voting Results and the AGM Proceedings.8. The decision to hold Extra-Ordinary General Meeting (EGM)/Postal Ballot/Annual General Meeting for approval of the shareholders for issuing Equity shares on preferential basis, along with notice and other relevant documents required for the same.9. To Appoint Mr. Pawan Kumar Jha as an Additional Director (Executive Director) subject to approval of shareholders.10. Any other matter with the permission of the Chair.","17-Aug-2024"
"GEEKAYWIRE","Geekay Wires Limited","Dividend/Other business matters","To consider dividend and other business matters","18-Aug-2024"
"E2E","E2E Networks Limited","Fund Raising","To consider Fund Raising","19-Aug-2024"
