"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 22-Feb-2024","1W AGO 
 16-Feb-2024","1M AGO 
 24-Jan-2024","1Y AGO 
 23-Feb-2023","52W H 
","52W L 
","365 D % CHNG 
 23-Feb-2023","30 D % CHNG 
 24-Jan-2024"
"NIFTY 50","22,212.70","-0.02","22,290.00","22,297.50","22,186.10","22,217.45","22,217.45","22,040.70","21,453.95","17,511.25","22,297.50","16,828.35","26.85","3.54"
"NIFTY NEXT 50","59,153.75","0.26","59,172.95","59,331.45","58,811.95","58,999.00","58,999.00","58,586.15","54,208.30","37,536.30","59,331.45","36,895.65","57.59","9.12"
"NIFTY 100","22,734.30","0.04","22,798.65","22,804.80","22,704.90","22,725.40","22,725.40","22,540.90","21,746.00","17,286.30","22,804.80","16,696.25","31.52","4.54"
"NIFTY 200","12,292.45","0.08","12,324.85","12,327.65","12,275.85","12,282.40","12,282.40","12,198.65","11,769.40","9,058.70","12,327.65","8,767.55","35.70","4.44"
"NIFTY 500","20,313.50","0.15","20,358.70","20,365.65","20,280.15","20,283.95","20,283.95","20,164.90","19,451.00","14,666.75","20,365.65","14,177.50","38.50","4.43"
"NIFTY MIDCAP 50","14,062.20","0.72","14,031.60","14,141.00","14,015.25","13,961.95","13,961.95","14,035.45","13,356.20","8,507.45","14,141.00","8,194.60","65.29","5.29"
"NIFTY MIDCAP 100","49,279.55","0.31","49,359.05","49,506.25","49,164.05","49,128.35","49,128.35","49,131.95","47,423.40","30,165.65","49,780.65","29,200.20","63.36","3.91"
"NIFTY SMALLCAP 100","16,175.20","0.38","16,217.80","16,226.35","16,139.70","16,114.45","16,114.45","16,194.00","15,332.05","9,237.65","16,691.60","8,682.00","75.10","5.50"
"INDIA VIX","14.97","-1.48","15.20","15.44","14.84","15.20","15.20","15.22","14.38","15.08","17.36","8.18","-0.68","4.16"
"NIFTY MIDCAP 150","18,149.05","0.37","18,165.90","18,222.40","18,104.55","18,082.90","18,082.90","18,081.70","17,495.55","11,431.25","18,345.10","11,016.50","58.77","3.74"
"NIFTY SMALLCAP 50","7,514.55","0.16","7,554.30","7,557.60","7,503.35","7,502.70","7,502.70","7,538.00","7,148.00","4,186.45","7,731.60","3,984.65","79.50","5.13"
"NIFTY SMALLCAP 250","15,169.50","0.57","15,168.10","15,197.80","15,106.00","15,083.55","15,083.55","15,098.90","14,467.35","9,014.80","15,489.50","8,492.40","68.27","4.85"
"NIFTY MIDSMALLCAP 400","17,120.40","0.44","17,130.05","17,167.50","17,067.90","17,045.60","17,045.60","17,051.05","16,441.00","10,564.20","17,362.20","10,106.00","62.06","4.13"
"NIFTY500 MULTICAP 50:25:25","14,068.00","0.26","14,090.55","14,101.55","14,036.50","14,031.95","14,031.95","13,979.25","13,472.75","9,571.85","14,101.55","8,254.50","46.97","4.42"
"NIFTY LARGEMIDCAP 250","14,014.50","0.20","14,040.65","14,059.40","13,989.30","13,985.90","13,985.90","13,929.30","13,458.25","9,680.00","14,059.40","8,318.55","44.78","4.13"
"NIFTY MIDCAP SELECT","11,066.55","0.79","11,030.95","11,119.85","11,012.45","10,980.10","10,980.10","11,021.30","10,568.25","6,839.80","11,119.85","6,054.20","61.80","4.72"
"NIFTY TOTAL MARKET","11,428.30","0.16","11,452.60","11,457.15","11,409.55","11,409.75","11,409.75","11,344.60","10,941.60","8,166.00","11,457.15","7,145.35","39.95","4.45"
"NIFTY MICROCAP 250","20,553.75","0.60","20,545.25","20,627.80","20,520.00","20,430.55","20,430.55","20,400.15","19,609.00","10,491.10","21,003.40","8,567.20","95.92","4.82"
"NIFTY BANK","46,811.75","-0.23","47,060.70","47,245.35","46,723.15","46,919.80","46,919.80","46,384.85","45,082.40","40,001.55","48,636.45","38,613.15","17.02","3.84"
"NIFTY AUTO","20,621.35","0.18","20,692.80","20,711.00","20,540.75","20,584.85","20,584.85","20,423.45","18,593.70","12,982.25","20,711.00","11,901.85","58.84","10.91"
"NIFTY FINANCIAL SERVICES","20,677.10","0.05","20,717.70","20,794.65","20,645.00","20,665.90","20,665.90","20,472.75","20,206.40","17,912.10","21,627.35","17,261.30","15.44","2.33"
"NIFTY FINANCIAL SERVICES 25/50","22,481.80","0.28","22,482.85","22,563.40","22,415.30","22,419.30","22,419.30","22,341.55","21,915.65","17,170.35","-","-","30.93","2.58"
"NIFTY FMCG","54,337.75","-0.15","54,528.50","54,561.55","54,268.75","54,419.20","54,419.20","53,518.60","55,858.70","45,530.10","57,966.70","44,392.05","19.34","-2.72"
"NIFTY IT","38,045.65","-0.22","38,487.50","38,490.45","37,980.10","38,130.15","38,130.15","38,477.05","37,090.15","30,598.35","38,559.85","26,184.45","24.34","2.58"
"NIFTY MEDIA","2,164.30","1.36","2,154.30","2,169.80","2,143.85","2,135.20","2,135.20","2,164.80","2,130.65","1,737.25","2,508.60","1,636.65","24.58","1.58"
"NIFTY METAL","8,047.75","-0.27","8,103.90","8,112.80","8,032.50","8,069.40","8,069.40","7,976.45","7,708.65","5,611.80","8,348.25","5,304.45","43.41","4.40"
"NIFTY PHARMA","19,048.40","0.42","18,984.95","19,134.80","18,957.75","18,969.45","18,969.45","18,870.80","17,763.70","11,968.20","19,134.80","11,542.45","59.16","7.23"
"NIFTY PSU BANK","7,076.05","-1.15","7,183.00","7,245.95","7,059.10","7,158.60","7,158.60","7,135.00","5,922.25","3,649.75","7,281.75","3,528.75","93.88","19.48"
"NIFTY PRIVATE BANK","23,430.85","-","23,538.05","23,624.05","23,385.00","23,430.50","23,430.50","23,240.90","23,111.60","20,416.80","25,009.90","19,592.90","14.76","1.38"
"NIFTY REALTY","918.75","1.00","916.55","925.25","912.85","909.65","909.65","882.70","818.10","382.50","925.25","370.65","140.20","12.30"
"NIFTY HEALTHCARE INDEX","12,159.00","0.31","12,126.45","12,201.50","12,109.70","12,121.15","12,121.15","12,039.05","11,241.70","7,641.85","12,201.50","7,249.70","59.11","8.16"
"NIFTY CONSUMER DURABLES","32,080.40","0.60","32,006.05","32,185.60","31,948.75","31,889.35","31,889.35","31,437.85","31,208.80","23,938.30","32,590.20","21,967.45","34.01","2.79"
"NIFTY OIL & GAS","11,756.30","-0.43","11,828.95","11,847.45","11,707.50","11,806.75","11,806.75","11,854.10","10,215.00","7,013.80","12,074.30","6,645.90","67.62","15.09"
"NIFTY DIVIDEND OPPORTUNITIES 50","5,829.00","-0.29","5,874.00","5,875.35","5,821.40","5,846.00","5,846.00","5,861.70","5,563.00","3,919.75","5,909.90","3,779.25","48.71","4.78"
"NIFTY GROWTH SECTORS 15","11,178.60","-0.29","11,268.90","11,269.75","11,164.80","11,211.30","11,211.30","11,155.90","10,988.35","8,740.05","11,269.75","8,343.45","27.90","1.73"
"NIFTY100 QUALITY 30","5,144.45","-0.01","5,164.85","5,166.10","5,137.95","5,144.80","5,144.80","5,153.65","4,972.85","3,868.00","-","-","33.00","3.45"
"NIFTY50 VALUE 20","12,405.95","-0.45","12,533.25","12,537.15","12,390.30","12,462.30","12,462.30","12,368.20","11,864.40","9,433.50","12,537.15","8,951.65","31.51","4.56"
"NIFTY50 TR 2X LEVERAGE","17,548.40","-0.06","17,670.55","17,682.40","17,508.65","17,559.00","17,559.00","17,296.65","16,432.30","11,508.95","22,000.00","10,571.85","52.48","6.79"
"NIFTY50 PR 2X LEVERAGE","12,264.10","-0.06","12,349.50","12,357.75","12,236.35","12,271.55","12,271.55","12,091.35","11,514.55","8,228.85","22,000.00","7,558.50","49.04","6.51"
"NIFTY50 TR 1X INVERSE","181.35","0.06","180.70","181.55","180.65","181.25","181.25","182.60","187.20","219.80","22,000.00","180.65","-17.49","-3.12"
"NIFTY50 PR 1X INVERSE","216.70","0.05","215.95","216.95","215.90","216.60","216.60","218.15","223.40","259.75","22,000.00","215.90","-16.57","-3.00"
"NIFTY50 DIVIDEND POINTS","220.31","-","220.31","220.31","220.31","220.31","220.31","217.44","191.41","199.58","-","-","10.39","15.10"
"NIFTY ALPHA 50","46,959.75","0.74","46,859.85","47,148.30","46,735.85","46,615.05","46,615.05","46,543.05","45,056.80","25,413.85","-","-","84.78","4.22"
