"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
1,"63MOONS","63 moons technologies limited","INE111B01023","LTASM - III (15)"
2,"AARTECH","Aartech Solonics Limited","INE01C001018","LTASM - I (13)"
3,"AARVEEDEN","Aarvee Denims & Exports Limited","INE273D01019","LTASM - I (13)"
4,"ACEINTEG","Ace Integrated Solutions Limited","INE543V01017","LTASM - I (13)"
5,"ADANIGREEN","Adani Green Energy Limited","INE364U01010","LTASM - I (13)"
6,"ADANIPOWER","Adani Power Limited","INE814H01011","LTASM - III (15)"
7,"ALBERTDAVD","Albert David Limited","INE155C01010","LTASM - I (13)"
8,"ALPHAGEO","Alphageo (India) Limited","INE137C01018","LTASM - I (13)"
9,"AMBICAAGAR","Ambica Agarbathies & Aroma industries Limited","INE792B01012","LTASM - I (13)"
10,"ANANDRATHI","Anand Rathi Wealth Limited","INE463V01026","LTASM - I (13)"
11,"ANGELONE","Angel One Limited","INE732I01013","LTASM - I (13)"
12,"ANUP","The Anup Engineering Limited","INE294Z01018","LTASM - I (13)"
13,"APOLLO","Apollo Micro Systems Limited","INE713T01028","LTASM - IV (16)"
14,"ARIHANTSUP","Arihant Superstructures Limited","INE643K01018","LTASM - I (13)"
15,"AROGRANITE","Aro Granite Industries Limited","INE210C01013","LTASM - I (13)"
16,"ARVIND","Arvind Limited","INE034A01011","LTASM - I (13)"
17,"ASHAPURMIN","Ashapura Minechem Limited","INE348A01023","LTASM - III (15)"
18,"ASHIMASYN","Ashima Limited","INE440A01010","LTASM - I (13)"
19,"ASIANENE","Asian Energy Services Limited","INE276G01015","LTASM - I (13)"
20,"ATALREAL","Atal Realtech Limited","INE0ALR01029","LTASM - I (13)"
21,"AURIONPRO","Aurionpro Solutions Limited","INE132H01018","LTASM - IV (16)"
22,"AUSOMENT","Ausom Enterprise Limited","INE218C01016","LTASM - I (13)"
23,"AVG","AVG Logistics Limited","INE680Z01018","LTASM - I (13)"
24,"AYMSYNTEX","AYM Syntex Limited","INE193B01039","LTASM - I (13)"
25,"AZAD","Azad Engineering Limited","INE02IJ01035","LTASM - I (13)"
26,"BALAJITELE","Balaji Telefilms Limited","INE794B01026","LTASM - I (13)"
27,"BALPHARMA","Bal Pharma Limited","INE083D01012","LTASM - I (13)"
28,"BANCOINDIA","Banco Products (I) Limited","INE213C01025","LTASM - I (13)"
29,"BBOX","Black Box Limited","INE676A01027","LTASM - I (13)"
30,"BCONCEPTS","Brand Concepts Limited","INE977Y01011","LTASM - IV (16)"
31,"BHARATWIRE","Bharat Wire Ropes Limited","INE316L01019","LTASM - IV (16)"
32,"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited","INE829A01014","LTASM - I (13)"
33,"BLKASHYAP","B. L. Kashyap and Sons Limited","INE350H01032","LTASM - I (13)"
34,"BOMDYEING","Bombay Dyeing & Mfg Company Limited","INE032A01023","LTASM - I (13)"
35,"BRIGHT","Bright Solar Limited","INE684Z01010","LTASM - I (13)"
36,"BSE","BSE Limited","INE118H01025","LTASM - I (13)"
37,"CAPTRUST","Capital Trust Limited","INE707C01018","LTASM - I (13)"
38,"CHEMFAB","Chemfab Alkalis Limited","INE783X01023","LTASM - I (13)"
39,"CINEVISTA","Cinevista Limited","INE039B01026","LTASM - I (13)"
40,"COASTCORP","Coastal Corporation Limited","INE377E01016","LTASM - I (13)"
41,"CONSOFINVT","Consolidated Finvest & Holdings Limited","INE025A01027","LTASM - I (13)"
42,"CONTI","Continental Seeds and Chemicals Limited","INE340Z01019","LTASM - I (13)"
43,"CREST","Crest Ventures Limited","INE559D01011","LTASM - I (13)"
44,"CUPID","Cupid Limited","INE509F01011","LTASM - IV (16)"
45,"CYIENT","Cyient Limited","INE136B01020","LTASM - I (13)"
46,"DAMODARIND","Damodar Industries Limited","INE497D01022","LTASM - I (13)"
47,"DBCORP","D.B.Corp Limited","INE950I01011","LTASM - IV (16)"
48,"DHANBANK","Dhanlaxmi Bank Limited","INE680A01011","LTASM - IV (16)"
49,"DUGLOBAL","DUDIGITAL GLOBAL LIMITED","INE0HPK01020","LTASM - I (13)"
50,"EIHOTEL","EIH Limited","INE230A01023","LTASM - I (13)"
51,"EIMCOELECO","Eimco Elecon (India) Limited","INE158B01016","LTASM - II (14)"
52,"ELECON","Elecon Engineering Company Limited","INE205B01023","LTASM - I (13)"
53,"ELECTCAST","Electrosteel Castings Limited","INE086A01029","LTASM - I (13)"
54,"EMIL","Electronics Mart India Limited","INE02YR01019","LTASM - I (13)"
55,"ESSARSHPNG","Essar Shipping Limited","INE122M01019","LTASM - I (13)"
56,"ETHOSLTD","Ethos Limited","INE04TZ01018","LTASM - I (13)"
57,"FCSSOFT","FCS Software Solutions Limited","INE512B01022","LTASM - I (13)"
58,"GALLANTT","Gallantt Ispat Limited","INE297H01019","LTASM - IV (16)"
59,"GANESHHOUC","Ganesh Housing Corporation Limited","INE460C01014","LTASM - I (13)"
60,"GENSOL","Gensol Engineering Limited","INE06H201014","LTASM - I (13)"
61,"GEPIL","GE Power India Limited","INE878A01011","LTASM - I (13)"
62,"GET&D","GE T&D India Limited","INE200A01026","LTASM - IV (16)"
