"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
1,"A2ZINFRA","A2z Infra Engineering Limited","INE619I01012","ESM - II (35)"
2,"AAKASH","Aakash Exploration Services Limited","INE087Z01024","ESM - I (34)"
3,"AAREYDRUGS","Aarey Drugs & Pharmaceuticals Limited","INE198H01019","ESM - II (35)"
4,"AARTECH","Aartech Solonics Limited","INE01C001018","ESM - I (34)"
5,"ABAN","Aban Offshore Limited","INE421A01028","ESM - I (34)"
6,"ADROITINFO","Adroit Infotech Limited","INE737B01033","ESM - I (34)"
7,"AIRAN","Airan Limited","INE645W01026","ESM - I (34)"
8,"AKI","Aki India Limited","INE642Z01026","ESM - II (35)"
9,"AKSHOPTFBR","Aksh Optifibre Limited","INE523B01011","ESM - I (34)"
10,"ANIKINDS","Anik Industries Limited","INE087B01017","ESM - I (34)"
11,"ANKITMETAL","Ankit Metal & Power Limited","INE106I01010","ESM - II (35)"
12,"ARENTERP","Rajdarshan Industries Limited","INE610C01014","ESM - I (34)"
13,"AROGRANITE","Aro Granite Industries Limited","INE210C01013","ESM - I (34)"
14,"ARVEE","Arvee Laboratories (India) Limited","INE006Z01016","ESM - I (34)"
15,"ASIANHOTNR","Asian Hotels (North) Limited","INE363A01022","ESM - I (34)"
16,"ASMS","Bartronics India Limited","INE855F01042","ESM - II (35)"
17,"ASTRON","Astron Paper & Board Mill Limited","INE646X01014","ESM - I (34)"
18,"ATALREAL","Atal Realtech Limited","INE0ALR01029","ESM - II (35)"
19,"ATLANTA","Atlanta  Limited","INE285H01022","ESM - I (34)"
20,"AUSOMENT","Ausom Enterprise Limited","INE218C01016","ESM - I (34)"
21,"BAIDFIN","Baid Finserv Limited","INE020D01022","ESM - I (34)"
22,"BANG","Bang Overseas Limited","INE863I01016","ESM - I (34)"
23,"BCONCEPTS","Brand Concepts Limited","INE977Y01011","ESM - II (35)"
24,"BEDMUTHA","Bedmutha Industries Limited","INE844K01012","ESM - I (34)"
25,"BHANDARI","Bhandari Hosiery Exports Limited","INE474E01029","ESM - II (35)"
26,"BIL","Bhartiya International Limited","INE828A01016","ESM - I (34)"
27,"BINANIIND","Binani Industries Limited","INE071A01013","ESM II & GSM 0 (37)"
28,"BKMINDST","Bkm Industries Limited","INE831Q01016","ESM II & GSM 0 (37)"
29,"BLUECHIP","Blue Chip India Limited","INE657B01025","ESM II & GSM 0 (37)"
30,"BOHRAIND","Bohra Industries Limited","INE802W01023","ESM - I (34)"
