"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","GSM STAGE 
"
1,"ALPSINDUS","Alps Industries Limited","INE093B01015","GSM - 0 (99)"
2,"ASIL","Amit Spinning Industries Limited","INE988A01026","GSM - VI (6)"
3,"ATNINTER","ATN International Limited","INE803A01027","GSM - VI (6)"
4,"BLUECOAST","Blue Coast Hotels Limited","INE472B01011","GSM - III (3)"
5,"CMICABLES","CMI Limited","INE981B01011","IBC - Receipt & GSM 0 (62)"
6,"DGCONTENT","Digicontent Limited","INE03JI01017","GSM - I (1)"
7,"EASTSILK","Eastern Silk Industries Limited","INE962C01027","GSM II & IBC - Receipt (64)"
8,"EQUIPPP","Equippp Social Impact Technologies Limited","INE217G01035","IBC - Receipt & GSM 0 (62)"
9,"FRETAIL","Future Retail Limited","INE752P01024","IBC - Receipt & GSM 0 (62)"
10,"GANGOTRI","Gangotri Textiles Limited","INE670B01028","GSM - 0 (99)"
11,"GAYAHWS","Gayatri Highways Limited","INE287Z01012","GSM - III (3)"
12,"GFSTEELS","Grand Foundry Limited","INE534A01028","GSM - IV (4)"
13,"GOLDENTOBC","Golden Tobacco Limited","INE973A01010","IBC - Receipt & GSM 0 (62)"
14,"HINDMOTORS","Hindustan Motors Limited","INE253A01025","GSM - I (1)"
15,"INDLMETER","IMP Powers Limited","INE065B01013","IBC I & GSM 0 (58)"
16,"INFOMEDIA","Infomedia Press Limited","INE669A01022","GSM - II (2)"
17,"INSPIRISYS","Inspirisys Solutions Limited","INE020G01017","GSM - II (2)"
18,"LAKPRE","Laxmi Precision Screws Limited","INE651C01018","IBC - Receipt & GSM 0 (62)"
19,"MBECL","Mcnally Bharat Engineering Company Limited","INE748A01016","IBC I & GSM 0 (58)"
20,"MEP","MEP Infrastructure Developers Limited","INE776I01010","GSM - 0 (99)"
21,"METALFORGE","Metalyst Forgings Limited","INE425A01011","IBC I & GSM 0 (58)"
22,"METKORE","Metkore Alloys & Industries Limited","INE592I01029","GSM - 0 (99)"
23,"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","INE245I01016","GSM - II (2)"
24,"OMKARCHEM","Omkar Speciality Chemicals Limited","INE474L01016","IBC - Receipt & GSM 0 (62)"
25,"ORTEL","Ortel Communications Limited","INE849L01019","IBC I & GSM 0 (58)"
26,"PREMIER","Premier Limited","INE342A01018","IBC - Receipt & GSM 0 (62)"
27,"RADAAN","Radaan Mediaworks India Limited","INE874F01027","GSM - II (2)"
28,"RAJVIR","Rajvir Industries Limited","INE011H01014","IBC - Receipt & GSM 0 (62)"
29,"RMCL","Radha Madhav Corporation Limited","INE172H01014","GSM - 0 (99)"
30,"ROML","Raj Oil Mills Limited","INE294G01026","GSM - I (1)"
31,"SANCO","Sanco Industries Limited","INE782L01012","IBC - Receipt & GSM 0 (62)"
32,"SHYAMTEL","Shyam Telecom Limited","INE635A01023","GSM - 0 (99)"
33,"SILLYMONKS","Silly Monks Entertainment Limited","INE203Y01012","GSM - I (1)"
34,"SPTL","Sintex Plastics Technology Limited","INE501W01021","IBC I & GSM 0 (58)"
35,"SUPREMEENG","Supreme Engineering Limited","INE319Z01021","GSM - II (2)"
36,"TCIFINANCE","TCI Finance Limited","INE911B01018","GSM - 0 (99)"
37,"TIJARIA","Tijaria Polypipes Limited","INE440L01017","LTASM I & GSM 0 (50)"
38,"UNIVAFOODS","Univa Foods Limited","INE275F01019","GSM - II (2)"
39,"YAARI","Yaari Digital Integrated Services Limited","INE126M01010","GSM - 0 (99)"
