ticker,price_change
HMAAGRO,-0.26137
GOYALALUM,-0.17864
BOHRAIND,-0.16615
GATECHDVR,-0.15261
FSC,-0.15132
BSHSL,-0.14915
KSHITIJPOL,-0.14816
MKPL,-0.14392
DIL,-0.13567
PAYTM,-0.13551
RAJESHEXPO,-0.13003
SHARDACROP,-0.12569
LORDSCHLO,-0.12467
GTECJAINX,-0.12101
COMPINFO,-0.11913
UPL,-0.11659
TATVA,-0.10899
SOMATEX,-0.10347
ATAM,-0.10235
GSS,-0.09667
ANKITMETAL,-0.09527
GMMPFAUDLR,-0.0909
DEEPAKFERT,-0.08926
BUTTERFLY,-0.08829
ASHOKAMET,-0.08723
RAJRATAN,-0.08446
ZEEL,-0.08433
BCG,-0.08081
SIKKO,-0.07993
MUFTI,-0.07966
GAYAPROJ,-0.07957
FLAIR,-0.07916
HDFCBANK,-0.07865
VRLLOG,-0.07771
AXITA,-0.07721
MBAPL,-0.07642
TARSONS,-0.07617
NURECA,-0.07613
KABRAEXTRU,-0.07599
TOTAL,-0.07577
OMKARCHEM,-0.07575
BLUEDART,-0.07534
IDEAFORGE,-0.07452
SUPERHOUSE,-0.07239
AVALON,-0.0716
FINEORG,-0.07153
CAMPUS,-0.07131
SADHNANIQ,-0.07016
IKIO,-0.06946
BARBEQUE,-0.06922
ASTEC,-0.06919
EIFFL,-0.06874
EUROTEXIND,-0.06869
PRUDMOULI,-0.06841
SELMC,-0.06805
AAVAS,-0.06731
OSWALSEEDS,-0.06722
AETHER,-0.06657
SFL,-0.06637
SCHAEFFLER,-0.06436
BALAMINES,-0.06382
ORIENTELEC,-0.06331
TCIEXP,-0.06323
BAJAJHCARE,-0.06299
RHIM,-0.06273
MAXESTATES,-0.06226
ORIENTBELL,-0.06213
MVGJL,-0.0606
COSMOFIRST,-0.06058
ALLCARGO,-0.05888
AFFLE,-0.05883
WINSOME,-0.05819
LEXUS,-0.0581
NUVOCO,-0.05809
RAJRILTD,-0.05625
AUTOAXLES,-0.05585
ATUL,-0.05583
SANDUMA,-0.05564
